Maker,Type,Coil Center,Thickness ,Max lines,Suggest Min Trim loss (mm),Max MC weight (KG),Min MC Width (mm),Max MC Width (mm)
CSC,All,HSC,0.8<T≤1.0,18,6,20000,100,1300
CSC,All,HSC,1.0<T≤1.2,17,7,20000,100,1300
CSC,All,HSC,1.2<T≤1.6,15,7,20000,100,1300
CSC,All,HSC,1.6<T≤1.8,14,7,20000,100,1300
CSC,All,HSC,1.8<T≤2.0,13,8,20000,100,1300
CSC,All,HSC,2.0<T≤2.3,12,8,20000,100,1300
CSC,All,HSC,2.3<T≤3.2,10,8,20000,100,1300
CSC,All,HSC,3.2<T≤3.9,9,12,20000,100,1300
CSC,All,HSC,3.9<T≤4.2,5,13,20000,100,1300
CSC,All,HSC,4.2<T≤6.0,5,13,20000,100,1300
CSVC,All,HSC,≤0.8,20,6,20000,100,1300
CSVC,All,HSC,0.8<T≤1.0,18,6,20000,100,1300
CSVC,All,HSC,1.0<T≤1.2,17,7,20000,100,1300
CSVC,All,HSC,1.2<T≤1.6,15,7,20000,100,1300
CSVC,All,HSC,1.6<T≤1.8,14,7,20000,100,1300
CSVC,All,HSC,1.8<T≤2.0,13,8,20000,100,1300
CSVC,All,HSC,2.0<T≤2.3,12,8,20000,100,1300
CSVC,All,HSC,2.3<T≤3.2,10,8,20000,100,1300
CSVC,All,HSC,3.2<T≤3.9,9,12,20000,100,1300
CSVC,All,HSC,3.9<T≤4.2,5,13,20000,100,1300
CSVC,All,HSC,4.2<T≤6.0,5,13,20000,100,1300
JFE,All,HSC,≤0.8,20,6,20000,100,1300
JFE,All,HSC,0.8<T≤1.0,18,6,20000,100,1300
JFE,All,HSC,1.0<T≤1.2,17,7,20000,100,1300
JFE,All,HSC,1.2<T≤1.6,15,7,20000,100,1300
JFE,All,HSC,1.6<T≤1.8,14,7,20000,100,1300
JFE,All,HSC,1.8<T≤2.0,13,8,20000,100,1300
JFE,All,HSC,2.0<T≤2.3,12,8,20000,100,1300
JFE,All,HSC,2.3<T≤3.2,10,8,20000,100,1300
JFE,All,HSC,3.2<T≤3.9,9,12,20000,100,1300
JFE,All,HSC,3.9<T≤4.2,5,13,20000,100,1300
JFE,All,HSC,4.2<T≤6.0,5,13,20000,100,1300
NSC,All,HSC,≤0.8,20,6,20000,100,1300
